#,입력(색상),입력(품명),입력(규격),품목명,코드,단위,분류
1,영림116 PS010,발포문틀 와이드,140*2230/N,영림116PS010 발포 와이드 140*2230식기무,Y116BW1402230N,틀,FRAME
2,PS140,발포문틀 슬림,120*2100/Y,예림PS140 발포 슬림 120*2100식기유,yS140BS1202100Y,틀,FRAME
3,우딘205,분리형 문틀,130*2150,우딘205 분리형 130*2150,W205ND1302150,틀,FRAME
4,영림130,스토퍼 문틀,150*2300/S,영림130 스토퍼 150*2300식기유,Y130ND1502300S,틀,FRAME
5,영림161,목재 슬림형,100*2000,영림161 목재 슬림형 100*2000,Y161WS1002000,틀,FRAME
6,PX444-1 발렌무디 다크,YA-07MXAL ABS도어,900*2100,예림PX444-1 YA-07MXAL ABS도어 900*2100,yX4441YA079002100,짝,DOOR
7,영림50,YA-100 ABS도어,900*2100,영림50 YA-100 ABS도어 900*2100,Y50YA1009002100,짝,DOOR
8,영림51,YS-A12 문짝,930*2200/N,영림51 YS-A12 문짝 930*2200식기무,Y51YSA129302200N,짝,DOOR
9,영림77,탈공 도어,920*2100,영림77 탈공 도어 920*2100,Y77탈9202100,짝,DOOR
10,영림90,M/D 민무늬,850*2050,영림90 M/D 민무늬 850*2050,Y90MD8502050,짝,DOOR
11,중백색,40MM평판,(40*9),예림중백색 평40 (40*9),y중백평40,EA,MOLDING
12,영림147(PW951-1),코너몰딩,(30*30),영림147PW951-1 코너몰딩 (30*30),Y147코너3030,EA,MOLDING
13,영림155,계단몰딩 100번,100,영림155 계단몰딩 100,Y155계단 100번100,EA,MOLDING
14,영림174,프레임몰딩155돌출15(PS,PW),128*/,영림174 PVC 프레임몰딩 155바,Y174PP155,EA,MOLDING
15,영림174,프레임몰딩155돌출15(MDF),128*/,영림174 MDF 프레임몰딩 155바,Y174PM155,EA,MOLDING
16,영림174,프레임몰딩155돌출15,128*/,영림174 MDF 프레임몰딩 155바,Y174PM155,EA,MOLDING
17,영림162,목재 와이드형,120*2100,영림162 목재 와이드형 120*2100,Y162WW1202100,틀,FRAME
18,영림163,목재,140*2200,영림163 목재 140*2200,Y163W1402200,틀,FRAME
19,영림15,초슬림 상부레일,3000,영림15 초슬림 상부레일 3000,Y15SS상레일3000,개,RAIL
20,예림11,부속 손잡이,300,예림11 부속 손잡이 300,,,NONE
